"Assemblage","m","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"SRR13060060",15839,"Extrapolation",0,35,34.4606179456883,35.5393820543117,1,0.999971877837574,1
"SRR13060060",16631,"Extrapolation",0,35,34.4577221917587,35.5422778082413,1,0.999974687766656,1
"SRR13060060",17423,"Extrapolation",0,35,34.454427903284,35.545572096716,1,0.99997721693136,1
"SRR13060060",18215,"Extrapolation",0,35,34.4509154590714,35.5490845409286,1,0.999979493385289,1
"SRR13060060",19007,"Extrapolation",0,35,34.4473189860526,35.5526810139474,1,0.999981542378969,1
"SRR13060060",19799,"Extrapolation",0,35,34.4437362833061,35.5562637166939,1,0.999983386639923,1
"SRR13060060",20591,"Extrapolation",0,35,34.4402369550714,35.5597630449286,1,0.999985046624775,1
"SRR13060060",21383,"Extrapolation",0,35,34.4368689516273,35.5631310483727,1,0.999986540746148,1
"SRR13060060",22175,"Extrapolation",0,35,34.4336637576765,35.5663362423235,1,0.999987885576899,1
"SRR13060060",22966,"Extrapolation",0,35,34.430644163078,35.569355836922,1,0.999989094584533,1
"SRR13060060",23758,"Extrapolation",0,35,34.4278123986714,35.5721876013286,1,0.999990184239148,1
"SRR13060060",24550,"Extrapolation",0,35,34.4251755109148,35.5748244890852,1,0.999991165016923,1
"SRR13060060",25342,"Extrapolation",0,35,34.4227317280198,35.5772682719802,1,0.999992047796686,1
"SRR13060060",26134,"Extrapolation",0,35,34.420475837932,35.579524162068,1,0.999992842370269,1
"SRR13060060",26926,"Extrapolation",0,35,34.4184002848094,35.5815997151906,1,0.999993557551116,1
"SRR13060060",27718,"Extrapolation",0,35,34.4164959966959,35.5835040033041,1,0.999994201272043,1
"SRR13060060",28510,"Extrapolation",0,35,34.4147530052569,35.5852469947431,1,0.999994780673232,1
"SRR13060060",29302,"Extrapolation",0,35,34.4131609051589,35.5868390948411,1,0.999995302181423,1
"SRR13060060",30094,"Extrapolation",0,35,34.4117091901693,35.5882908098307,1,0.99999577158121,1
"SRR13060060",1,"Rarefaction",1,1,1,1,0.469624287942188,0.460552067561192,0.478696508323183
"SRR13060060",836,"Rarefaction",1,4.56282345969641,4.44585747335742,4.6797894460354,0.994194005737258,0.993785553232859,0.994602458241657
"SRR13060060",1672,"Rarefaction",1,4.61131312924619,4.49278100021293,4.72984525827945,0.997941987321802,0.997712553748975,0.998171420894629
"SRR13060060",2508,"Rarefaction",1,4.62792825798721,4.50888503184686,4.74697148412757,0.998974795987532,0.998795604411451,0.999153987563613
"SRR13060060",3344,"Rarefaction",1,4.6362691593326,4.51698477722402,4.75555354144118,0.999404932873417,0.999261866798714,0.99954799894812
"SRR13060060",4180,"Rarefaction",1,4.64126725779238,4.52184609891568,4.76068841666909,0.99961587091954,0.99949542710581,0.999736314733269
"SRR13060060",5016,"Rarefaction",1,4.64459157913484,4.52508334295585,4.76409981531383,0.999734546892056,0.999629427845123,0.999839665938988
"SRR13060060",5851,"Rarefaction",1,4.64695744877669,4.52738916814076,4.76652572941261,0.999809835308385,0.999716773247917,0.999902897368853
"SRR13060060",6687,"Rarefaction",1,4.64872908927357,4.52911670705573,4.7683414714914,0.999862049017284,0.999779015433943,0.999945082600625
"SRR13060060",7523,"Rarefaction",1,4.65010258728868,4.5304562794808,4.76974889509656,0.999900091686136,0.999825188174701,0.999974995197571
"SRR13060060",8359,"Rarefaction",1,4.65119761495498,4.53152419225572,4.77087103765424,0.999928516637628,0.999859903717865,0.999997129557391
"SRR13060060",9195,"Rarefaction",1,4.65209038421403,4.53239460798918,4.77178616043888,0.999949961677923,0.999886045236466,1
"SRR13060060",10031,"Rarefaction",1,4.65283174300142,4.53311706755242,4.77254641845042,0.999966131806161,0.999905698022749,1
"SRR13060060",10866,"Rarefaction",1,4.65345622408566,4.53372525560975,4.77318719256156,0.999978191113913,0.999920399372851,1
"SRR13060060",11702,"Rarefaction",1,4.6539904670069,4.53424518004186,4.77373575397194,0.999987007700726,0.999931291120201,1
"SRR13060060",12538,"Rarefaction",1,4.65445211925397,4.53469409159843,4.77421014690951,0.999993179159093,0.999939087898449,1
"SRR13060060",13374,"Rarefaction",1,4.6548550194877,4.53508552758503,4.77462451139037,0.999997168180621,0.999944232786824,1
"SRR13060060",14210,"Rarefaction",1,4.65520974274229,4.53542984036107,4.77498964512351,0.999999339520677,0.999946958938186,1
"SRR13060060",15046,"Rarefaction",1,4.65552450484824,4.53573507708708,4.77531393260939,1,0.999947368575631,1
"SRR13060060",15047,"Observed",1,4.6555248601604,4.53573542147983,4.77531429884096,1,0.999968755976259,1
"SRR13060060",15048,"Extrapolation",1,4.65552521544875,4.53573576584955,4.77531466504794,1,0.999968760128841,1
"SRR13060060",15839,"Extrapolation",1,4.65579892092608,4.53600107555471,4.77559676629744,1,0.999971877837574,1
"SRR13060060",16631,"Extrapolation",1,4.65605881552784,4.53625302803712,4.77586460301855,1,0.999974687766656,1
"SRR13060060",17423,"Extrapolation",1,4.65630527621277,4.53649198560851,4.77611856681703,1,0.99997721693136,1
"SRR13060060",18215,"Extrapolation",1,4.65653899737823,4.53671861849846,4.77635937625801,1,0.999979493385289,1
"SRR13060060",19007,"Extrapolation",1,4.65676063752825,4.53693356236556,4.77658771269094,1,0.999981542378969,1
"SRR13060060",19799,"Extrapolation",1,4.65697082112889,4.53713742008128,4.7768042221765,1,0.999983386639923,1
"SRR13060060",20591,"Extrapolation",1,4.65717014036763,4.53733076342156,4.77700951731371,1,0.999985046624775,1
"SRR13060060",21383,"Extrapolation",1,4.65735915682187,4.53751413467115,4.7772041789726,1,0.999986540746148,1
"SRR13060060",22175,"Extrapolation",1,4.65753840304116,4.53768804814511,4.7773887579372,1,0.999987885576899,1
"SRR13060060",22966,"Extrapolation",1,4.65770817506314,4.53785278882852,4.77756356129776,1,0.999989094584533,1
"SRR13060060",23758,"Extrapolation",1,4.65786938057673,4.53800923541765,4.77772952573581,1,0.999990184239148,1
"SRR13060060",24550,"Extrapolation",1,4.65802225339911,4.53815761287908,4.77788689391914,1,0.999991165016923,1
"SRR13060060",25342,"Extrapolation",1,4.65816722424598,4.5382983373802,4.77803611111176,1,0.999992047796686,1
"SRR13060060",26134,"Extrapolation",1,4.65830470156938,4.53843180362449,4.77817759951427,1,0.999992842370269,1
"SRR13060060",26926,"Extrapolation",1,4.65843507270852,4.53855838595864,4.7783117594584,1,0.999993557551116,1
"SRR13060060",27718,"Extrapolation",1,4.65855870498111,4.5386784394226,4.77843897053962,1,0.999994201272043,1
"SRR13060060",28510,"Extrapolation",1,4.65867594671824,4.53879230074533,4.77855959269115,1,0.999994780673232,1
"SRR13060060",29302,"Extrapolation",1,4.65878712824584,4.53890028928931,4.77867396720236,1,0.999995302181423,1
"SRR13060060",30094,"Extrapolation",1,4.65889256281531,4.5390027079462,4.77878241768442,1,0.99999577158121,1
"SRR13060060",1,"Rarefaction",2,1,1,1,0.469624287942188,0.460552067561192,0.478696508323183
"SRR13060060",836,"Rarefaction",2,2.12648906138521,2.08548987113883,2.16748825163158,0.994194005737258,0.993785553232859,0.994602458241657
"SRR13060060",1672,"Rarefaction",2,2.12792444079014,2.08684525235209,2.16900362922819,0.997941987321802,0.997712553748975,0.998171420894629
"SRR13060060",2508,"Rarefaction",2,2.12840333129963,2.08729743705309,2.16950922554617,0.998974795987532,0.998795604411451,0.999153987563613
"SRR13060060",3344,"Rarefaction",2,2.12864285739799,2.08752360278423,2.16976211201176,0.999404932873417,0.999261866798714,0.99954799894812
"SRR13060060",4180,"Rarefaction",2,2.12878659892912,2.08765932570579,2.16991387215244,0.99961587091954,0.99949542710581,0.999736314733269
"SRR13060060",5016,"Rarefaction",2,2.12888243740622,2.08774981744721,2.17001505736523,0.999734546892056,0.999629427845123,0.999839665938988
"SRR13060060",5851,"Rarefaction",2,2.12895082854105,2.08781439291416,2.17008726416794,0.999809835308385,0.999716773247917,0.999902897368853
"SRR13060060",6687,"Rarefaction",2,2.12900219388364,2.08786289238344,2.17014149538384,0.999862049017284,0.999779015433943,0.999945082600625
"SRR13060060",7523,"Rarefaction",2,2.1290421449068,2.08790061432045,2.17018367549314,0.999900091686136,0.999825188174701,0.999974995197571
"SRR13060060",8359,"Rarefaction",2,2.12907410584732,2.08793079194559,2.17021741974904,0.999928516637628,0.999859903717865,0.999997129557391
"SRR13060060",9195,"Rarefaction",2,2.12910025579017,2.08795548278161,2.17024502879872,0.999949961677923,0.999886045236466,1
"SRR13060060",10031,"Rarefaction",2,2.12912204746369,2.08797605851178,2.1702680364156,0.999966131806161,0.999905698022749,1
"SRR13060060",10866,"Rarefaction",2,2.12914046625159,2.08799344954566,2.17028748295752,0.999978191113913,0.999920399372851,1
"SRR13060060",11702,"Rarefaction",2,2.12915627407656,2.08800837529715,2.17030417285596,0.999987007700726,0.999931291120201,1
"SRR13060060",12538,"Rarefaction",2,2.12916997403872,2.08802131079713,2.17031863728031,0.999993179159093,0.999939087898449,1
"SRR13060060",13374,"Rarefaction",2,2.12918196139811,2.08803262925253,2.1703312935437,0.999997168180621,0.999944232786824,1
"SRR13060060",14210,"Rarefaction",2,2.12919253839118,2.08804261603724,2.17034246074512,0.999999339520677,0.999946958938186,1
"SRR13060060",15046,"Rarefaction",2,2.12920194009349,2.0880514931106,2.17035238707637,1,0.999947368575631,1
"SRR13060060",15047,"Observed",2,2.12920195071402,2.08805150313849,2.17035239828955,1,0.999968755976259,1
"SRR13060060",15048,"Extrapolation",2,2.12920196133314,2.08805151316505,2.17035240950124,1,0.999968760128841,1
"SRR13060060",15839,"Extrapolation",2,2.1292099410763,2.08805904762429,2.1703608345283,1,0.999971877837574,1
"SRR13060060",16631,"Extrapolation",2,2.12921717045761,2.08806587359132,2.17036846732389,1,0.999974687766656,1
"SRR13060060",17423,"Extrapolation",2,2.12922374262731,2.08807207901895,2.17037540623567,1,0.99997721693136,1
"SRR13060060",18215,"Extrapolation",2,2.12922974330806,2.08807774484671,2.17038174176941,1,0.999979493385289,1
"SRR13060060",19007,"Extrapolation",2,2.12923524393548,2.08808293852429,2.17038754934667,1,0.999981542378969,1
"SRR13060060",19799,"Extrapolation",2,2.12924030451558,2.08808771670946,2.17039289232171,1,0.999983386639923,1
"SRR13060060",20591,"Extrapolation",2,2.12924497582274,2.08809212734345,2.17039782430203,1,0.999985046624775,1
"SRR13060060",21383,"Extrapolation",2,2.12924930110924,2.08809621126511,2.17040239095336,1,0.999986540746148,1
"SRR13060060",22175,"Extrapolation",2,2.1292533174485,2.08810000347922,2.17040663141778,1,0.999987885576899,1
"SRR13060060",22966,"Extrapolation",2,2.12925705224161,2.08810352985789,2.17041057462533,1,0.999989094584533,1
"SRR13060060",23758,"Extrapolation",2,2.12926054260361,2.08810682544512,2.1704142597621,1,0.999990184239148,1
"SRR13060060",24550,"Extrapolation",2,2.12926380777298,2.08810990840591,2.17041770714005,1,0.999991165016923,1
"SRR13060060",25342,"Extrapolation",2,2.12926686886225,2.08811279867469,2.17042093904981,1,0.999992047796686,1
"SRR13060060",26134,"Extrapolation",2,2.12926974442478,2.08811551376954,2.17042397508002,1,0.999992842370269,1
"SRR13060060",26926,"Extrapolation",2,2.1292724508311,2.0881180691475,2.1704268325147,1,0.999993557551116,1
"SRR13060060",27718,"Extrapolation",2,2.12927500258077,2.08812047849904,2.17042952666251,1,0.999994201272043,1
"SRR13060060",28510,"Extrapolation",2,2.12927741256225,2.08812275399344,2.17043207113106,1,0.999994780673232,1
"SRR13060060",29302,"Extrapolation",2,2.12927969227059,2.08812490648429,2.17043447805688,1,0.999995302181423,1
"SRR13060060",30094,"Extrapolation",2,2.1292818519908,2.08812694568272,2.17043675829889,1,0.99999577158121,1
"SRR13060061",1,"Rarefaction",0,1,1,1,0.33007369758287,0.326370913456993,0.333776481708746
"SRR13060061",2530,"Rarefaction",0,30.1266070105988,29.3643698224607,30.888844198737,0.997386186229209,0.99720234542355,0.997570027034868
"SRR13060061",5060,"Rarefaction",0,34.4766533414814,33.5377261928364,35.4155804901264,0.998872087899222,0.998783221071994,0.998960954726451
"SRR13060061",7589,"Rarefaction",0,36.590585455629,35.6280020912068,37.5531688200513,0.999382191447218,0.999320517102904,0.999443865791531
"SRR13060061",10119,"Rarefaction",0,37.8228642626348,36.9017573762282,38.7439711490413,0.999618400939227,0.999559458934208,0.999677342944247
"SRR13060061",12648,"Rarefaction",0,38.6053257033916,37.7479106803487,39.4627407264345,0.999751901336195,0.999694977368475,0.999808825303915
"SRR13060061",15178,"Rarefaction",0,39.1182999702847,38.3258401427494,39.9107597978201,0.999836716072252,0.999784040760594,0.99988939138391
"SRR13060061",17707,"Rarefaction",0,39.4550137217766,38.7196135908003,40.1904138527529,0.999893330005733,0.999846138147027,0.999940521864439
"SRR13060061",20237,"Rarefaction",0,39.6733003167751,38.9843277645353,40.362272869015,0.999931628777194,0.999890206800865,0.999973050753524
"SRR13060061",22766,"Rarefaction",0,39.8115137731415,39.1587687960287,40.4642587502542,0.999957346222264,0.999921363163735,0.999993329280794
"SRR13060061",25296,"Rarefaction",0,39.8964269958329,39.271580136432,40.5212738552339,0.999974329130959,0.999943116732558,1
"SRR13060061",27825,"Rarefaction",0,39.9464982176357,39.3432869717919,40.5497094634795,0.999985247300837,0.999957989021175,1
"SRR13060061",30355,"Rarefaction",0,39.9745373085043,39.3884907657151,40.5605838512936,0.999992028226696,0.999967896666565,1
"SRR13060061",32884,"Rarefaction",0,39.9891608404684,39.4170617331364,40.5612599478005,0.999996039121897,0.999974263423196,1
"SRR13060061",35414,"Rarefaction",0,39.9960787467501,39.4354848245495,40.5566726689507,0.999998258747721,0.999978158369392,1
"SRR13060061",37943,"Rarefaction",0,39.9989022853786,39.4476954655725,40.5501091051846,0.999999368637724,0.999980353056535,1
"SRR13060061",40473,"Rarefaction",0,39.999807923957,39.4558647325661,40.5437511153479,0.999999839086178,0.999981400517786,1
"SRR13060061",43002,"Rarefaction",0,39.9999893272736,39.4608992113514,40.5390794431958,0.999999982643194,0.999981678622868,1
"SRR13060061",45532,"Rarefaction",0,40,39.4628766107941,40.5371233892059,1,0.999981429602289,1
"SRR13060061",45533,"Observed",0,40,39.4628767393363,40.5371232606637,1,0.999989674067926,1
"SRR13060061",45534,"Extrapolation",0,40,39.4628791753385,40.5371208246615,1,0.999989674521474,1
"SRR13060061",47930,"Extrapolation",0,40,39.4679292668051,40.5320707331949,1,0.999990705971173,1
"SRR13060061",50326,"Extrapolation",0,40,39.471622980846,40.528377019154,1,0.9999916343856,1
"SRR13060061",52723,"Extrapolation",0,40,39.4742436436762,40.5257563563238,1,0.999992470388064,1
"SRR13060061",55119,"Extrapolation",0,40,39.4760215173795,40.5239784826205,1,0.999993222548455,1
"SRR13060061",57516,"Extrapolation",0,40,39.4771474858055,40.5228525141945,1,0.999993899840752,1
"SRR13060061",59912,"Extrapolation",0,40,39.4777733592564,40.5222266407436,1,0.999994509207901,1
"SRR13060061",62308,"Extrapolation",0,40,39.4780219331958,40.5219780668042,1,0.999995057703144,1
"SRR13060061",64705,"Extrapolation",0,40,39.4779901958903,40.5220098041097,1,0.999995551602594,1
"SRR13060061",67101,"Extrapolation",0,40,39.477754695449,40.522245304551,1,0.999995995969231,1
"SRR13060061",69498,"Extrapolation",0,40,39.4773751288447,40.5226248711553,1,0.999996396104765,1
"SRR13060061",71894,"Extrapolation",0,40,39.4768982651627,40.5231017348373,1,0.999996756111001,1
"SRR13060061",74291,"Extrapolation",0,40,39.4763594549403,40.5236405450597,1,0.99999708028315,1
"SRR13060061",76687,"Extrapolation",0,40,39.4757863470128,40.5242136529872,1,0.999997371944312,1
"SRR13060061",79083,"Extrapolation",0,40,39.4751991710589,40.5248008289411,1,0.999997634470377,1
"SRR13060061",81480,"Extrapolation",0,40,39.4746128196475,40.5253871803525,1,0.999997870865278,1
"SRR13060061",83876,"Extrapolation",0,40,39.4740387649495,40.5259612350505,1,0.999998083552309,1
"SRR13060061",86273,"Extrapolation",0,40,39.4734842797736,40.5265157202264,1,0.999998275069024,1
"SRR13060061",88669,"Extrapolation",0,40,39.4729550737086,40.5270449262914,1,0.999998447378669,1
"SRR13060061",91066,"Extrapolation",0,40,39.4724540359099,40.5275459640901,1,0.999998602537059,1
"SRR13060061",1,"Rarefaction",1,1,1,1,0.33007369758287,0.326370913456993,0.333776481708746
"SRR13060061",2530,"Rarefaction",1,5.5161477438849,5.44732836614634,5.58496712162347,0.997386186229209,0.99720234542355,0.997570027034868
"SRR13060061",5060,"Rarefaction",1,5.5374739855815,5.46822803144917,5.60671993971382,0.998872087899222,0.998783221071994,0.998960954726451
"SRR13060061",7589,"Rarefaction",1,5.54506105228611,5.47567831359656,5.61444379097566,0.999382191447218,0.999320517102904,0.999443865791531
"SRR13060061",10119,"Rarefaction",1,5.5489313220552,5.47948781068535,5.61837483342506,0.999618400939227,0.999559458934208,0.999677342944247
"SRR13060061",12648,"Rarefaction",1,5.55126525671837,5.48179005702706,5.62074045640968,0.999751901336195,0.999694977368475,0.999808825303915
"SRR13060061",15178,"Rarefaction",1,5.55281942818608,5.48332567756845,5.62231317880371,0.999836716072252,0.999784040760594,0.99988939138391
"SRR13060061",17707,"Rarefaction",1,5.55392294078238,5.48441717656436,5.6234287050004,0.999893330005733,0.999846138147027,0.999940521864439
"SRR13060061",20237,"Rarefaction",1,5.55474459758373,5.48523028572574,5.62425890944173,0.999931628777194,0.999890206800865,0.999973050753524
"SRR13060061",22766,"Rarefaction",1,5.55537809061827,5.48585720214004,5.6248989790965,0.999957346222264,0.999921363163735,0.999993329280794
"SRR13060061",25296,"Rarefaction",1,5.55588096167675,5.48635469719879,5.62540722615471,0.999974329130959,0.999943116732558,1
"SRR13060061",27825,"Rarefaction",1,5.55628918908577,5.48675835177631,5.62582002639523,0.999985247300837,0.999957989021175,1
"SRR13060061",30355,"Rarefaction",1,5.55662732541533,5.48709249614481,5.62616215468586,0.999992028226696,0.999967896666565,1
"SRR13060061",32884,"Rarefaction",1,5.55691179081991,5.48737342864437,5.62645015299545,0.999996039121897,0.999974263423196,1
"SRR13060061",35414,"Rarefaction",1,5.55715465112315,5.48761313538802,5.62669616685828,0.999998258747721,0.999978158369392,1
"SRR13060061",37943,"Rarefaction",1,5.55736431655794,5.48781997685743,5.62690865625846,0.999999368637724,0.999980353056535,1
"SRR13060061",40473,"Rarefaction",1,5.55754734556928,5.48800046939603,5.62709422174253,0.999999839086178,0.999981400517786,1
"SRR13060061",43002,"Rarefaction",1,5.55770843079537,5.48815927384418,5.62725758774656,0.999999982643194,0.999981678622868,1
"SRR13060061",45532,"Rarefaction",1,5.55785142777138,5.48830021289049,5.62740264265228,1,0.999981429602289,1
"SRR13060061",45533,"Observed",1,5.55785148110921,5.48830026545519,5.62740269676323,1,0.999989674067926,1
"SRR13060061",45534,"Extrapolation",1,5.55785153444585,5.48830031801872,5.62740275087298,1,0.999989674521474,1
"SRR13060061",47930,"Extrapolation",1,5.55797598904608,5.4884229616051,5.62752901648707,1,0.999990705971173,1
"SRR13060061",50326,"Extrapolation",1,5.55809399806938,5.48853923992786,5.62764875621089,1,0.9999916343856,1
"SRR13060061",52723,"Extrapolation",1,5.55820594080635,5.48864952816935,5.62776235344335,1,0.999992470388064,1
"SRR13060061",55119,"Extrapolation",1,5.55831204049273,5.48875404764835,5.62787003333711,1,0.999993222548455,1
"SRR13060061",57516,"Extrapolation",1,5.55841268609554,5.48885318284647,5.6279721893446,1,0.999993899840752,1
"SRR13060061",59912,"Extrapolation",1,5.5585080783218,5.4889471326945,5.6280690239491,1,0.999994509207901,1
"SRR13060061",62308,"Extrapolation",1,5.55859853012856,5.48903620659306,5.62816085366405,1,0.999995057703144,1
"SRR13060061",64705,"Extrapolation",1,5.55868433223529,5.48912069193209,5.6282479725385,1,0.999995551602594,1
"SRR13060061",67101,"Extrapolation",1,5.55876565574821,5.48920075823764,5.62833055325878,1,0.999995995969231,1
"SRR13060061",69498,"Extrapolation",1,5.55884279880356,5.48927670002697,5.62840889758016,1,0.999996396104765,1
"SRR13060061",71894,"Extrapolation",1,5.55891591523971,5.48934866967906,5.62848316080036,1,0.999996756111001,1
"SRR13060061",74291,"Extrapolation",1,5.55898527310533,5.48941693192489,5.62855361428578,1,0.99999708028315,1
"SRR13060061",76687,"Extrapolation",1,5.55905101071359,5.48948162373121,5.62862039769597,1,0.999997371944312,1
"SRR13060061",79083,"Extrapolation",1,5.55911334373246,5.48954295813335,5.62868372933157,1,0.999997634470377,1
"SRR13060061",81480,"Extrapolation",1,5.55917247250534,5.48960113301201,5.62874381199866,1,0.999997870865278,1
"SRR13060061",83876,"Extrapolation",1,5.55922851494657,5.48965626509049,5.62880076480266,1,0.999998083552309,1
"SRR13060061",86273,"Extrapolation",1,5.55928167651069,5.48970855715953,5.62885479586185,1,0.999998275069024,1
"SRR13060061",88669,"Extrapolation",1,5.55933206321226,5.48975811413723,5.6289060122873,1,0.999998447378669,1
"SRR13060061",91066,"Extrapolation",1,5.55937985977157,5.48980511830597,5.62895460123718,1,0.999998602537059,1
"SRR13060061",1,"Rarefaction",2,0.999999999999999,0.999999999999999,1,0.33007369758287,0.326370913456993,0.333776481708746
"SRR13060061",2530,"Rarefaction",2,3.02719794514586,2.99327570212199,3.06112018816973,0.997386186229209,0.99720234542355,0.997570027034868
"SRR13060061",5060,"Rarefaction",2,3.02841170355338,2.99445553698394,3.06236787012282,0.998872087899222,0.998783221071994,0.998960954726451
"SRR13060061",7589,"Rarefaction",2,3.02881639930579,2.99484891820116,3.06278388041041,0.999382191447218,0.999320517102904,0.999443865791531
"SRR13060061",10119,"Rarefaction",2,3.02901888778551,2.99504574480249,3.06299203076852,0.999618400939227,0.999559458934208,0.999677342944247
"SRR13060061",12648,"Rarefaction",2,3.02914034905527,2.99516380961741,3.06311688849313,0.999751901336195,0.999694977368475,0.999808825303915
"SRR13060061",15178,"Rarefaction",2,3.02922136332179,2.99524255836888,3.06320016827469,0.999836716072252,0.999784040760594,0.99988939138391
"SRR13060061",17707,"Rarefaction",2,3.02927921109787,2.99529878842113,3.0632596337746,0.999893330005733,0.999846138147027,0.999940521864439
"SRR13060061",20237,"Rarefaction",2,3.02932261625371,2.99534097972038,3.06330425278704,0.999931628777194,0.999890206800865,0.999973050753524
"SRR13060061",22766,"Rarefaction",2,3.02935636352485,2.99537378320989,3.06333894383981,0.999957346222264,0.999921363163735,0.999993329280794
"SRR13060061",25296,"Rarefaction",2,3.02938337285743,2.99540003718667,3.0633667085282,0.999974329130959,0.999943116732558,1
"SRR13060061",27825,"Rarefaction",2,3.02940546308235,2.99542150961921,3.06338941654548,0.999985247300837,0.999957989021175,1
"SRR13060061",30355,"Rarefaction",2,3.02942387927152,2.99543941076476,3.06340834777829,0.999992028226696,0.999967896666565,1
"SRR13060061",32884,"Rarefaction",2,3.02943945626145,2.99545455211032,3.06342436041258,0.999996039121897,0.999974263423196,1
"SRR13060061",35414,"Rarefaction",2,3.02945281342071,2.99546753570529,3.06343809113612,0.999998258747721,0.999978158369392,1
"SRR13060061",37943,"Rarefaction",2,3.02946438518496,2.99547878383669,3.06344998653323,0.999999368637724,0.999980353056535,1
"SRR13060061",40473,"Rarefaction",2,3.02947451458609,2.99548862994285,3.06346039922933,0.999999839086178,0.999981400517786,1
"SRR13060061",43002,"Rarefaction",2,3.02948344882008,2.9954973143065,3.06346958333366,0.999999982643194,0.999981678622868,1
"SRR13060061",45532,"Rarefaction",2,3.02949139357847,2.9955050368679,3.06347775028904,1,0.999981429602289,1
"SRR13060061",45533,"Observed",2,3.02949139654415,2.99550503975064,3.06347775333766,1,0.999989674067926,1
"SRR13060061",45534,"Extrapolation",2,3.02949139950969,2.99550504263324,3.06347775638615,1,0.999989674521474,1
"SRR13060061",47930,"Extrapolation",2,3.02949814962243,2.99551160395971,3.06348469528515,1,0.999990705971173,1
"SRR13060061",50326,"Extrapolation",2,3.02950425702095,2.99551754054687,3.06349097349502,1,0.9999916343856,1
"SRR13060061",52723,"Extrapolation",2,3.02950981154007,2.99552293971718,3.06349668336296,1,0.999992470388064,1
"SRR13060061",55119,"Extrapolation",2,3.02951488095515,2.99552786735054,3.06350189455977,1,0.999993222548455,1
"SRR13060061",57516,"Extrapolation",2,3.02951952987336,2.99553238624726,3.06350667349946,1,0.999993899840752,1
"SRR13060061",59912,"Extrapolation",2,3.02952380510328,2.99553654190684,3.06351106829972,1,0.999994509207901,1
"SRR13060061",62308,"Extrapolation",2,3.02952775154341,2.9955403779721,3.06351512511473,1,0.999995057703144,1
"SRR13060061",64705,"Extrapolation",2,3.02953140718664,2.99554393137337,3.06351888299992,1,0.999995551602594,1
"SRR13060061",67101,"Extrapolation",2,3.02953480030035,2.99554722958748,3.06352237101322,1,0.999995995969231,1
"SRR13060061",69498,"Extrapolation",2,3.02953796072986,2.99555030162506,3.06352561983467,1,0.999996396104765,1
"SRR13060061",71894,"Extrapolation",2,3.02954090923649,2.99555316766679,3.0635286508062,1,0.999996756111001,1
